sampleid	Sample	Cultivar	Flower.or.leaf	Phenological.stage.old	Phenological.stage	Location.on.tree	Collection.date	Tree.number	Plate	CPS.letters	CD.FL	CPS	cd.ps	T_max	T_max_previous_day	T_min	WetHours	WetHours_previous_day	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric
169	169	Coscia	Leaf	Leaf	Leaf	NA	15.04.2019	7	2	Coscia Leaf	15.04.2019 Leaf	Coscia Leaf	15.04.2019 Leaf	19.4	25.5	10.6	3.02	0	68398	49769	72.76	48820	42428	62.03	31646	46.27
172	172	Coscia	Leaf	Leaf	Leaf	NA	15.04.2019	9	2	Coscia Leaf	15.04.2019 Leaf	Coscia Leaf	15.04.2019 Leaf	19.4	25.5	10.6	3.02	0	73020	50363	68.97	49565	44183	60.51	34352	47.04
178	178	Coscia	Leaf	Leaf	Leaf	NA	15.04.2019	10	2	Coscia Leaf	15.04.2019 Leaf	Coscia Leaf	15.04.2019 Leaf	19.4	25.5	10.6	3.02	0	75222	52766	70.15	51963	44625	59.32	34510	45.88
182	182	Coscia	Leaf	Leaf	Leaf	NA	15.04.2019	8	2	Coscia Leaf	15.04.2019 Leaf	Coscia Leaf	15.04.2019 Leaf	19.4	25.5	10.6	3.02	0	68621	49975	72.83	49147	45134	65.77	29029	42.3
203	203	Coscia	Leaf	Leaf	Leaf	NA	15.04.2019	11	2	Coscia Leaf	15.04.2019 Leaf	Coscia Leaf	15.04.2019 Leaf	19.4	25.5	10.6	3.02	0	68883	52315	75.95	51801	48177	69.94	25736	37.36
207	207	Coscia	Leaf	Leaf	Leaf	NA	13.04.2019	10	2	Coscia Leaf	13.04.2019 Leaf	Coscia Leaf	13.04.2019 Leaf	31.7	27.7	8.3	9.24	9.34	66463	47244	71.08	46415	41821	62.92	27751	41.75
215	215	Coscia	Leaf	Leaf	Leaf	NA	18.04.2019	7	2	Coscia Leaf	18.04.2019 Leaf	Coscia Leaf	18.04.2019 Leaf	23	21.9	7.3	9.62	7.06	80481	60539	75.22	59801	52780	65.58	37814	46.99
220	220	Coscia	Leaf	Leaf	Leaf	NA	18.04.2019	8	2	Coscia Leaf	18.04.2019 Leaf	Coscia Leaf	18.04.2019 Leaf	23	21.9	7.3	9.62	7.06	69680	51616	74.08	51045	46850	67.24	31374	45.03
223	223	Coscia	Leaf	Leaf	Leaf	NA	18.04.2019	12	2	Coscia Leaf	18.04.2019 Leaf	Coscia Leaf	18.04.2019 Leaf	23	21.9	7.3	9.62	7.06	57692	40652	70.46	39925	35357	61.29	24387	42.27
227	227	Coscia	Leaf	Leaf	Leaf	NA	18.04.2019	11	2	Coscia Leaf	18.04.2019 Leaf	Coscia Leaf	18.04.2019 Leaf	23	21.9	7.3	9.62	7.06	73529	53676	73	53221	49835	67.78	34667	47.15
228	228	Coscia	Leaf	Leaf	Leaf	NA	15.04.2019	12	2	Coscia Leaf	15.04.2019 Leaf	Coscia Leaf	15.04.2019 Leaf	19.4	25.5	10.6	3.02	0	69383	48977	70.59	48448	41239	59.44	34601	49.87
237	237	Coscia	Leaf	Leaf	Leaf	NA	18.04.2019	9	2	Coscia Leaf	18.04.2019 Leaf	Coscia Leaf	18.04.2019 Leaf	23	21.9	7.3	9.62	7.06	76603	54589	71.26	54268	50131	65.44	33852	44.19
240	240	Coscia	Leaf	Leaf	Leaf	NA	18.04.2019	10	2	Coscia Leaf	18.04.2019 Leaf	Coscia Leaf	18.04.2019 Leaf	23	21.9	7.3	9.62	7.06	64121	45208	70.5	44537	40180	62.66	28916	45.1
246	246	Coscia	Leaf	Leaf	Leaf	NA	21.04.2019	7	3	Coscia Leaf	21.04.2019 Leaf	Coscia Leaf	21.04.2019 Leaf	20.6	21	9.2	8.33	14.02	67861	51297	75.59	50741	47096	69.4	33813	49.83
255	255	Coscia	Leaf	Leaf	Leaf	NA	21.04.2019	8	3	Coscia Leaf	21.04.2019 Leaf	Coscia Leaf	21.04.2019 Leaf	20.6	21	9.2	8.33	14.02	72717	53165	73.11	52860	50499	69.45	35538	48.87
258	258	Coscia	Leaf	Leaf	Leaf	NA	21.04.2019	11	3	Coscia Leaf	21.04.2019 Leaf	Coscia Leaf	21.04.2019 Leaf	20.6	21	9.2	8.33	14.02	269	175	65.06	156	155	57.62	152	56.51
263	263	Coscia	Leaf	Leaf	Leaf	NA	21.04.2019	10	3	Coscia Leaf	21.04.2019 Leaf	Coscia Leaf	21.04.2019 Leaf	20.6	21	9.2	8.33	14.02	67302	50563	75.13	50380	48624	72.25	35652	52.97
267	267	Coscia	Leaf	Leaf	Leaf	NA	21.04.2019	12	3	Coscia Leaf	21.04.2019 Leaf	Coscia Leaf	21.04.2019 Leaf	20.6	21	9.2	8.33	14.02	78974	57090	72.29	56617	52882	66.96	35744	45.26
132	132	Coscia	Flower	H	Complete petal fall	U	21.04.2019	9	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	75047	55063	73.37	54983	54393	72.48	37429	49.87
136	136	Coscia	Flower	H	Complete petal fall	D	21.04.2019	9	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	74763	55461	74.18	55401	55061	73.65	38350	51.3
166	166	Coscia	Flower	H	Complete petal fall	D	15.04.2019	7	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	81223	59391	73.12	58493	54051	66.55	21388	26.33
168	168	Coscia	Flower	H	Complete petal fall	U	15.04.2019	11	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	16388	12140	74.08	11908	10975	66.97	4962	30.28
175	175	Coscia	Flower	H	Complete petal fall	U	15.04.2019	7	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	77580	57231	73.77	56599	53152	68.51	23243	29.96
177	177	Coscia	Flower	H	Complete petal fall	U	15.04.2019	10	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	82517	62141	75.31	61552	57715	69.94	21576	26.15
188	188	Coscia	Flower	H	Complete petal fall	U	15.04.2019	12	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	57861	42843	74.04	42441	39642	68.51	19161	33.12
190	190	Coscia	Flower	H	Complete petal fall	U	15.04.2019	8	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	73030	54667	74.86	53927	48521	66.44	17284	23.67
197	197	Coscia	Flower	H	Complete petal fall	D	15.04.2019	11	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	118985	88291	74.2	87795	83724	70.37	35794	30.08
205	205	Coscia	Flower	H	Complete petal fall	D	15.04.2019	8	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	74205	55310	74.54	54594	49843	67.17	18865	25.42
212	212	Coscia	Flower	H	Complete petal fall	D	18.04.2019	10	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	69977	51758	73.96	51324	46974	67.13	25523	36.47
213	213	Coscia	Flower	H	Complete petal fall	U	18.04.2019	8	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	67960	50535	74.36	50217	46957	69.1	26070	38.36
214	214	Coscia	Flower	H	Complete petal fall	D	18.04.2019	11	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	60981	42847	70.26	41911	37223	61.04	19833	32.52
218	218	Coscia	Flower	H	Complete petal fall	D	18.04.2019	7	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	59672	44580	74.71	44144	41312	69.23	20354	34.11
221	221	Coscia	Flower	H	Complete petal fall	D	18.04.2019	8	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	75666	56818	75.09	56113	51135	67.58	15105	19.96
222	222	Coscia	Flower	H	Complete petal fall	U	18.04.2019	12	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	87617	65495	74.75	65248	61358	70.03	37094	42.34
226	226	Coscia	Flower	H	Complete petal fall	D	18.04.2019	12	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	77568	57470	74.09	57222	55200	71.16	33844	43.63
231	231	Coscia	Flower	H	Complete petal fall	D	15.04.2019	12	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	76155	57858	75.97	57467	54755	71.9	24190	31.76
234	234	Coscia	Flower	H	Complete petal fall	U	15.04.2019	9	2	Coscia H	15.04.2019 Flower	Coscia Complete petal fall	15.04.2019 Complete petal fall	19.4	25.5	10.6	3.02	0	73095	54828	75.01	54542	52099	71.28	25607	35.03
239	239	Coscia	Flower	H	Complete petal fall	U	18.04.2019	7	2	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	60787	44516	73.23	43918	40497	66.62	20284	33.37
243	243	Coscia	Flower	H	Complete petal fall	U	18.04.2019	9	3	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	75483	57062	75.6	56804	54026	71.57	32387	42.91
245	245	Coscia	Flower	H	Complete petal fall	U	18.04.2019	10	3	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	71941	53406	74.24	52938	49244	68.45	28845	40.1
248	248	Coscia	Flower	H	Complete petal fall	D	21.04.2019	7	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	85937	64682	75.27	64512	63616	74.03	40879	47.57
256	256	Coscia	Flower	H	Complete petal fall	U	18.04.2019	11	3	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	80009	60351	75.43	60089	57745	72.17	36255	45.31
257	257	Coscia	Flower	H	Complete petal fall	D	18.04.2019	9	3	Coscia H	18.04.2019 Flower	Coscia Complete petal fall	18.04.2019 Complete petal fall	23	21.9	7.3	9.62	7.06	68818	51275	74.51	50929	48887	71.04	30130	43.78
262	262	Coscia	Flower	H	Complete petal fall	U	21.04.2019	11	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	66276	49574	74.8	49289	47581	71.79	27324	41.23
265	265	Coscia	Flower	H	Complete petal fall	D	21.04.2019	10	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	81261	61719	75.95	61680	61523	75.71	42713	52.56
266	266	Coscia	Flower	H	Complete petal fall	D	21.04.2019	12	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	71973	53378	74.16	53228	52444	72.87	35205	48.91
268	268	Coscia	Flower	H	Complete petal fall	U	21.04.2019	12	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	71660	53498	74.66	53441	53133	74.15	37168	51.87
269	269	Coscia	Flower	H	Complete petal fall	U	21.04.2019	10	3	Coscia H	21.04.2019 Flower	Coscia Complete petal fall	21.04.2019 Complete petal fall	20.6	21	9.2	8.33	14.02	73344	55694	75.94	55607	55250	75.33	37221	50.75
72	72	Coscia	Flower	E2	White buds	D	11.04.2019	12	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	74732	48949	65.5	48083	43341	58	34683	46.41
74	74	Coscia	Flower	E2	White buds	D	11.04.2019	10	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	78198	52215	66.77	51854	47065	60.19	40056	51.22
78	78	Coscia	Flower	E2	White buds	D	11.04.2019	8	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	65537	45227	69.01	44722	39991	61.02	33268	50.76
81	81	Coscia	Flower	E2	White buds	D	11.04.2019	9	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	70687	49088	69.44	48257	42205	59.71	31626	44.74
86	86	Coscia	Flower	E2	White buds	U	11.04.2019	10	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	70822	47946	67.7	47529	42168	59.54	33384	47.14
89	89	Coscia	Flower	E2	White buds	D	11.04.2019	11	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	65229	44653	68.46	44189	39590	60.69	32435	49.72
90	90	Coscia	Flower	E2	White buds	U	11.04.2019	8	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	73147	50119	68.52	49202	43220	59.09	34362	46.98
94	94	Coscia	Flower	E2	White buds	U	11.04.2019	12	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	75658	53719	71	53006	46665	61.68	36032	47.62
99	99	Coscia	Flower	E2	White buds	U	11.04.2019	11	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	69586	49386	70.97	48911	43140	62	35272	50.69
101	101	Coscia	Flower	E2	White buds	U	11.04.2019	7	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	82717	56557	68.37	55987	48770	58.96	39336	47.55
104	104	Coscia	Flower	E2	White buds	D	11.04.2019	7	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	76829	53508	69.65	52965	46979	61.15	38050	49.53
105	105	Coscia	Flower	E2	White buds	U	11.04.2019	9	1	Coscia E2	11.04.2019 Flower	Coscia White buds	11.04.2019 White buds	23.2	22.6	7.3	9.17	3.77	75164	50860	67.67	50224	44228	58.84	35115	46.72
111	111	Coscia	Flower	E2	White buds	D	13.04.2019	11	1	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	72796	51737	71.07	51139	45532	62.55	35559	48.85
125	125	Coscia	Flower	E2	White buds	U	13.04.2019	9	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	68820	45882	66.67	45373	39599	57.54	33608	48.83
128	128	Coscia	Flower	E2	White buds	U	13.04.2019	10	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	69523	48302	69.48	47662	41331	59.45	32816	47.2
130	130	Coscia	Flower	E2	White buds	U	13.04.2019	8	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	79657	54602	68.55	53864	47617	59.78	35907	45.08
131	131	Coscia	Flower	E2	White buds	D	13.04.2019	9	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	95805	67578	70.54	67041	61291	63.97	42793	44.67
146	146	Coscia	Flower	E2	White buds	D	13.04.2019	7	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	57003	41096	72.09	40734	36256	63.6	26125	45.83
147	147	Coscia	Flower	E2	White buds	U	13.04.2019	11	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	55223	38903	70.45	38360	34098	61.75	25705	46.55
152	152	Coscia	Flower	E2	White buds	U	13.04.2019	7	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	63980	43453	67.92	42716	37510	58.63	29342	45.86
156	156	Coscia	Flower	E2	White buds	U	13.04.2019	12	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	55314	37266	67.37	36733	32311	58.41	25344	45.82
160	160	Coscia	Flower	E2	White buds	D	13.04.2019	12	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	69051	49282	71.37	48617	44518	64.47	30284	43.86
198	198	Coscia	Flower	E2	White buds	D	13.04.2019	10	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	86867	59088	68.02	58696	51601	59.4	40858	47.04
200	200	Coscia	Flower	E2	White buds	D	13.04.2019	8	2	Coscia E2	13.04.2019 Flower	Coscia White buds	13.04.2019 White buds	31.7	27.7	8.3	9.24	9.34	72291	48677	67.33	48185	43120	59.65	34153	47.24
